img,class
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,6
46,0
47,0
48,0
49,6
50,0
51,0
52,0
53,6
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,6
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,6
114,6
115,0
116,7
117,2
118,0
119,0
120,0
121,6
122,0
123,4
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,4
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,8
150,0
151,8
152,6
153,6
154,6
155,8
156,5
157,0
158,5
159,0
160,1
161,1
162,1
163,7
164,7
165,1
166,1
167,1
168,1
169,7
170,1
171,1
172,1
173,7
174,7
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,6
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,5
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,7
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,8
222,1
223,1
224,1
225,1
226,4
227,1
228,4
229,8
230,1
231,1
232,1
233,1
234,1
235,1
236,8
237,1
238,1
239,1
240,8
241,1
242,1
243,1
244,8
245,8
246,8
247,8
248,8
249,8
250,8
251,1
252,6
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,4
266,4
267,1
268,1
269,5
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,5
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,8
292,1
293,1
294,4
295,1
296,1
297,1
298,1
299,1
300,6
301,1
302,8
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,6
321,2
322,2
323,6
324,2
325,2
326,2
327,2
328,2
329,6
330,2
331,2
332,4
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,6
424,2
425,2
426,2
427,6
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,8
451,1
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,3
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
